epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,713.765,1.49142,1.41453,1.97974,0.75769,0.70983,0.74298,0.41264,1.59604,1.15013,2.06313,0.00144816,0.00144816,0.00144816
146,718.485,1.41238,1.51395,1.9176,0.81921,0.69181,0.75723,0.43023,1.62365,1.17369,2.09739,0.00145814,0.00145814,0.00145814
147,723.272,1.48807,1.48328,1.95499,0.7796,0.71005,0.76065,0.42156,1.61508,1.1905,2.07556,0.00146812,0.00146812,0.00146812
148,728.034,1.3944,1.36924,1.89712,0.80183,0.65946,0.7619,0.3747,1.73591,1.25279,2.16627,0.00147811,0.00147811,0.00147811
149,732.788,1.47167,1.42728,1.94955,0.84062,0.71139,0.76131,0.41093,1.78848,1.13894,2.21758,0.00148809,0.00148809,0.00148809
150,737.551,1.46359,1.44099,1.93213,0.86328,0.71183,0.7843,0.41717,1.71771,1.00226,2.20444,0.00149808,0.00149808,0.00149808
151,742.316,1.47092,1.41794,1.95907,0.781,0.68929,0.76309,0.38772,1.63914,1.18251,2.13599,0.00150806,0.00150806,0.00150806
152,747.026,1.37413,1.3227,1.86077,0.77687,0.69768,0.7528,0.40029,1.62796,1.14701,2.12038,0.00151804,0.00151804,0.00151804
153,751.8,1.38655,1.35879,1.90445,0.78824,0.6676,0.74062,0.40958,1.59567,1.07733,2.11069,0.00152803,0.00152803,0.00152803
154,756.545,1.41683,1.41905,1.9017,0.73161,0.69207,0.74487,0.3819,1.65131,1.20044,2.15222,0.00153801,0.00153801,0.00153801
155,761.295,1.43856,1.37049,1.92417,0.71247,0.73765,0.7394,0.39695,1.6445,1.15152,2.11577,0.00154799,0.00154799,0.00154799
156,766.059,1.47224,1.40446,1.92181,0.78638,0.66618,0.72554,0.39971,1.64845,1.18091,2.13105,0.00155797,0.00155797,0.00155797
157,770.79,1.43414,1.38772,1.89556,0.74771,0.73232,0.75049,0.3961,1.66894,1.1566,2.13187,0.00156796,0.00156796,0.00156796
158,775.573,1.36734,1.32623,1.84969,0.82572,0.70005,0.78001,0.41634,1.64586,1.13005,2.08252,0.00157794,0.00157794,0.00157794
159,780.38,1.39007,1.3203,1.88877,0.7736,0.66814,0.74545,0.41705,1.58234,1.20516,2.06105,0.00158792,0.00158792,0.00158792
160,785.159,1.44176,1.38677,1.93016,0.82603,0.65643,0.74961,0.41922,1.61649,1.20727,2.11976,0.0015979,0.0015979,0.0015979
161,789.911,1.44868,1.39888,1.96961,0.85263,0.64948,0.7509,0.42142,1.61256,1.36636,2.11879,0.00160788,0.00160788,0.00160788
162,794.665,1.51797,1.48936,2.00882,0.81976,0.67427,0.75567,0.43183,1.53794,1.2514,2.0509,0.00161786,0.00161786,0.00161786
163,799.401,1.42042,1.34049,1.92096,0.8043,0.69422,0.78885,0.43676,1.51127,1.2031,2.03154,0.00162784,0.00162784,0.00162784
164,804.141,1.39808,1.30935,1.88526,0.93236,0.67559,0.80737,0.45973,1.51078,1.15194,2.01647,0.00163783,0.00163783,0.00163783
165,809.294,1.45226,1.42285,1.91376,0.82035,0.68595,0.77918,0.42405,1.57171,1.14554,2.03761,0.00164781,0.00164781,0.00164781
166,814.029,1.43692,1.33746,1.91446,0.78526,0.67923,0.77014,0.42879,1.50898,1.17995,2.01143,0.00165779,0.00165779,0.00165779
167,818.971,1.43714,1.40573,1.91637,0.82073,0.7219,0.80205,0.43719,1.62467,1.07012,2.05311,0.00166777,0.00166777,0.00166777
168,823.729,1.38547,1.33697,1.83943,0.82324,0.71856,0.76774,0.39491,1.66767,1.1312,2.0977,0.00167775,0.00167775,0.00167775
169,828.462,1.37301,1.35549,1.89525,0.84144,0.67476,0.78439,0.41337,1.68387,1.17654,2.14246,0.00168772,0.00168772,0.00168772
170,833.205,1.42384,1.39471,1.94543,0.83887,0.70254,0.77546,0.40946,1.72787,1.08026,2.14883,0.0016977,0.0016977,0.0016977
171,837.97,1.33288,1.33195,1.9044,0.84845,0.70428,0.78344,0.40506,1.67858,1.12423,2.15639,0.00170768,0.00170768,0.00170768
172,842.718,1.47204,1.39907,1.92476,0.81446,0.70053,0.78949,0.42108,1.55164,1.16111,2.01717,0.00171766,0.00171766,0.00171766
